id;fr;en;primary;secondary;weightType;includeBodyweight
669ced7e665a3ffe7771438f;Escanor Hold;Escanor Hold;deltoids_front;triceps|forearms|chest;bodyweight_plus_external;true
669ced7e665a3ffe77714377;Hip thrust;Hip Thrust;glutes;quads|hamstrings;external_free;false
669ced7e665a3ffe7771437c;Muscle-up;Muscle Ups;lats;chest|deltoids_front|biceps|triceps|abs;bodyweight_plus_external;true
669ced7e665a3ffe7771438b;V-Sit;V-Sit;abs;obliques|quads;bodyweight_plus_external;true
669ced7e665a3ffe77714397;Crunchs vélo;Bicycle Crunch;abs;obliques|quads;bodyweight_plus_external;true
669ced7e665a3ffe7771439f;Relevés de jambes suspendu complets;Toes To Bar;abs;obliques|quads|forearms;bodyweight_plus_external;true
669ced7e665a3ffe7771436e;Tirage visage;Face Pull;deltoids_rear;traps|biceps;external_machine;false
669ced7e665a3ffe77714375;Soulevé de terre;Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
669ced7e665a3ffe7771439a;Crunchs;Crunches;abs;obliques|quads;external_free;false
669ced7e665a3ffe77714398;Roue abdominale;Ab Wheel Rollout;abs;obliques|spinal_erectors|lats;bodyweight_plus_external;true
669c3609218324e0b7682b49;Superman;Superman;spinal_erectors;glutes|hamstrings;external_free;false
669ced7e665a3ffe77714376;Fentes;Lunge;quads;glutes|hamstrings|calves;external_free;false
669ced7e665a3ffe777143a4;Ciseaux;Scissor Kicks;abs;obliques;external_free;false
669ced7e665a3ffe7771436f;Tirage vertical;Lat Pulldown;lats;upper_back|biceps|forearms;external_machine;false
669ced7e665a3ffe77714396;Good morning;Good Morning;hamstrings;glutes|spinal_erectors|quads;external_free;false
669ced7e665a3ffe77714391;Skin the Cat;Skin the Cat;lats;biceps|abs;bodyweight_plus_external;false
669ced7e665a3ffe7771439e;Relevés de jambes suspendu;Hanging Leg Raise;abs;obliques|quads;external_free;false
669ced7e665a3ffe777143a3;Russian Twist;Russian Twist;obliques;abs;external_free;false
669ced7e665a3ffe777143bc;Épaulé;Clean;quads;glutes|hamstrings|traps|deltoids_front;external_free;false
669ced7e665a3ffe777143ac;Burpees;Burpees;quads;chest|deltoids_front|glutes|abs;bodyweight_plus_external;true
669ced7e665a3ffe777143a5;Essuie-glaces;Windshield Wipers;abs;obliques;bodyweight_plus_external;false
669ced7e665a3ffe77714374;Squat;Squat;quads;glutes|hamstrings|calves;external_free;false
669ced7e665a3ffe7771437a;Pompes;Push Ups;chest;deltoids_front|triceps;bodyweight_plus_external;true
669ced7e665a3ffe77714379;Tractions;Pull Ups;lats;upper_back|biceps|forearms;bodyweight_plus_external;true
669ced7e665a3ffe777143bd;Soulevé de terre arraché;Snatch Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
669ced7e665a3ffe77714392;Bar Spin (360);Bar Spin (360);forearms;biceps|deltoids_front;external_free;false
669ced7e665a3ffe77714367;Développé couché;Bench Press;chest;deltoids_front|triceps;external_free;false
669ced7e665a3ffe77714369;Développé militaire;Military Press;chest|deltoids_side;deltoids_front|triceps|deltoids_rear;external_free;false
669ced7e665a3ffe7771437b;Dips;Dips;chest;deltoids_front|triceps;bodyweight_plus_external;true
669ced7e665a3ffe7771438a;L-Sit;L-Sit;abs;obliques|quads;bodyweight_plus_external;true
669ced7e665a3ffe77714370;Barre au front;Lying Tricep Extension;triceps;deltoids_front;external_free;false
669ced7e665a3ffe7771437e;Dragon Flag;Dragon Flag;abs;spinal_erectors|hamstrings;bodyweight_plus_external;false
669ced7e665a3ffe7771439d;Relevés de genoux suspendu;Hanging Knee Raise;abs;obliques|quads;bodyweight_plus_external;false
669ced7e665a3ffe7771439b;Relevés de buste;Sit Ups;abs;obliques;bodyweight_plus_external;false
